,evttime,car_m,ret_m,abret_m,abret_t,sar_t,pat_ar,cret_edate_m,car_edate_m,pat_car_edate_m,car_edate_t,scar_edate_t,bhar_edate_m,pat_scale_m,pat_car_edate_mean,sar_m,scar_edate_m,scar_m,car_v,abret_v,sar_v,pat_scale_v,car_edate_v,scar_edate_v,scar_v,scar_n,scar_edate_n,sar_n,car_n,n,pat_scale_edate_s,pat_scale_s,pat_car
174,[174],-0.05387727033796998,-0.00036305601669269475,-0.0005458446490195163,-0.9419461590004146,-0.49030559411397456,-0.6368855780899116,0.003552201257358856,-0.04860950103452683,-26.304584900549777,-6.2527426992125905,-7.882293001862775,-0.0152282276138526,1.0102041750578625,0,-0.01348906356113243,-0.5571239636747252,-0.5917583537772988,0.32989114668165964,0.02749965027700783,1.3055669449559608,3.134270725523295e-06,0.3689222073420157,3.354157546971426,3.1753581293099646,2252,2252,2252,2252,2252,2274.979802230306,2274.979802230306,-27.939846196658408
176,[176],-0.050995253398401615,0.003117378100267605,0.0021032928427187616,2.0281108042026488,3.068591473115991,4.822174723884819,0.003552201257358856,-0.04860950103452683,-26.304584900549777,-6.2527426992125905,-7.882293001862775,-0.0152282276138526,1.0102041750578625,0,0.10213235091372357,-0.5571239636747252,-0.5597994720612308,0.3354003763261293,0.049214407215921505,1.5794593312061094,3.134270725523295e-06,0.3689222073420157,3.354157546971426,3.200912828676349,2252,2252,2252,2252,2252,2274.979802230306,2274.979802230306,-26.430908918351424
178,[178],-0.04828086399688764,0.0023570046931577146,0.001149284301350056,1.5535198287703895,0.5981114874781333,0.8024590355323666,0.0031591041663339057,-0.04866712055463632,-26.30797992957597,-6.275817925923469,-7.8772730705673855,-0.015674064850325884,1.0102041753074398,0,0.017018550790619046,-0.5579396240869127,-0.5438783293614061,0.34841857196556175,0.03506029367915553,1.3484824772334472,3.1384525395810134e-06,0.36751087271228317,3.3567282272463874,3.2751855981922073,2246,2246,2246,2246,2246,2268.9185777405096,2268.9185777405096,-25.64496148913473
180,[180],-0.052262128722055046,-0.0006245202731002388,-0.00048346292542998675,-0.7994894665062039,-1.3898637859107625,-1.725166080803544,0.0053656119396232336,-0.052503860184770136,-27.698589811115184,-7.093192505732042,-8.50421490374101,-0.013821140422596542,1.010204081632713,0,-0.036701885418392276,-0.5892710741362895,-0.5852665701344488,0.34534468367840443,0.028569163505788055,1.2475651400016619,0.0,0.3497007657780149,3.273617939007234,3.2539605849159083,2232,2232,2232,2232,2232,2254.775510204215,2254.775510204215,-27.510358759885438
-10,[-10],-0.0009300901484097329,-0.0003383517182894423,-0.0008028079465185282,-4.336319415297072,-5.989418442476205,-8.399713276668036,-0.0010119699690454467,-0.008214811736827041,-16.242323047137074,-9.858016391385204,-12.49081125625349,-0.009110209986196598,1.020842686350995,0,-0.04340349323536228,-0.08392828841684329,-0.010231556170328723,0.03917017927696323,0.03620576516882633,1.4171876572357767,0.000180166380692779,0.1629654017494991,1.3138231466819268,0.32028095818132013,38233,38233,38233,38233,38245,39029.878427257594,39029.878427257594,-1.9800742244143845
-9,[-9],-0.0015272291969439147,-0.00019052957447604463,-0.0006401034024375403,-3.3535783437059457,-3.9467853822509675,-5.438769642869128,-0.0009733874346312994,-0.008173562600961973,-16.177483145070585,-9.807899087101205,-12.44273054901657,-0.009073659506442455,1.0208415411157503,0,-0.02810682346001969,-0.08360303756973889,-0.01602236483735689,0.05348810542729988,0.037317259744346326,1.3923112138945644,0.00016185413200892854,0.16293090531616417,1.3136341400499973,0.4357056124098626,38224,38224,38224,38224,38224,39020.64706760844,39020.64706760844,-3.10038420415401
-8,[-8],-0.0020656109909524926,-0.00032928498181121593,-0.0006023728196817665,-3.0491624568778666,-3.2214588999894436,-4.633895797860424,-0.0009196311859156985,-0.008111310815725187,-16.119276296849645,-9.742345606813343,-12.40174995616419,-0.00902588381043561,1.020840467073166,0,-0.02395046516893094,-0.08331308737549217,-0.02094114982819849,0.06466108615086981,0.0386215896213269,1.4534720982843037,0.00014383185325193447,0.1627694337898131,1.3132321530502902,0.5349900550123945,38214,38214,38214,38214,38220,39010.39760873396,39010.39760873396,-4.051658517143782
-7,[-7],-0.0028984978832594845,-0.0003407305286089975,-0.0008374033249456792,-4.304489684248182,-5.047373023091305,-7.212563994022174,-0.0009042882316755392,-0.00810869345637858,-16.115860437978533,-9.74127939497104,-12.39999335413786,-0.009016897878039661,1.0208394261637241,0,-0.03728424445134083,-0.08330847124701947,-0.029053030609901803,0.07477021579161579,0.03802683341103199,1.4438999358209648,0.00012576528319368705,0.1627091721070184,1.3131391897233915,0.6222052662154651,38202,38202,38202,38202,38208,38998.10775830659,38998.10775830659,-5.620251813542276
-6,[-6],-0.003906526249583036,-0.0005595985558654404,-0.0010447861180292515,-5.344682887729112,-4.961055974784811,-7.107964259578975,-0.0008717783729238796,-0.00807302701651719,-16.087963179930107,-9.699765739353007,-12.378424015436986,-0.008985325154850964,1.0208388405516071,0,-0.03674736950400888,-0.08317294600110992,-0.03692507462798502,0.08370690482288906,0.03820648922081108,1.4477174548689262,0.00011487323285371809,0.16266976588848,1.3131498890643194,0.6941783586997344,38194,38194,38194,38194,38200,38989.918676028086,38989.918676028086,-7.142337377628382
-5,[-5],-0.0045532384028622135,-0.00034930282775390064,-0.0006854191037785175,-3.7337102407920724,-3.62787173302423,-5.11637875672137,-0.0008318105611397845,-0.008035302087934917,-16.048890698294844,-9.655642388395322,-12.350075929772782,-0.008951444743644517,1.0208385144959558,0,-0.026454210991636737,-0.08298070977576943,-0.04249472013749528,0.09171494538185003,0.035872528663951596,1.4249160777093408,0.00010880465426586764,0.16261755745494358,1.312967315357069,0.763506038482938,38185,38185,38185,38185,38185,38980.71867602807,38980.71867602807,-8.218694689213592
-4,[-4],-0.006158691368224327,-0.0012433751206295462,-0.0016223758362119863,-7.758974220669007,-7.864175650065989,-11.979606407714435,-0.0008131383154359183,-0.00801883522333004,-16.026605980233416,-9.636897319118223,-12.333231984850643,-0.008934475750772526,1.020838313077842,0,-0.061944545106216733,-0.08287090437318788,-0.05589702069040679,0.09998871179539204,0.040861153012751054,1.5392647356683766,0.0001051776550521509,0.16260635499147147,1.312934740002096,0.8288067703543658,38180,38180,38180,38180,38188,38975.60679331201,38975.60679331201,-10.810060935740736
-3,[-3],-0.006695445748539454,-0.00022475106912797513,-0.000514682161432832,-2.579791517449139,-3.2356702753812914,-4.639444319012275,-0.0008534213317919707,-0.008041541022795386,-16.039383866658035,-9.671150907929198,-12.342233448647452,-0.0089668057675037,1.0208377815768435,0,-0.023993871128647877,-0.08295107840876935,-0.06120389913148026,0.1074273038787491,0.03897611232018227,1.4487053872063838,9.647726817958191e-05,0.16244454581259568,1.3130228749016837,0.887971851613286,38167,38167,38167,38167,38167,38962.31560944339,38962.31560944339,-11.834358891255242
-2,[-2],-0.00775215119265974,-0.0006857475202752841,-0.0010451919617175994,-4.992304605954807,-5.69240565968699,-8.587192644280307,-0.0008755771736371635,-0.008053689638882693,-16.066044623259266,-9.688342393536752,-12.361208423681314,-0.00898492695144882,1.020837184934805,0,-0.044420952572087564,-0.0831085356756492,-0.0710445418896278,0.115417539245554,0.04089397539053022,1.524250590380242,8.58105047587104e-05,0.16237148288303024,1.3131861097513495,0.9476648101644212,38149,38149,38149,38149,38153,38943.917768077874,38943.917768077874,-13.733905560463436
-1,[-1],-0.008592613485926248,-0.0004927459702084344,-0.0008765286089417831,-4.220376647978954,-4.866775431320231,-7.2359789029823105,-0.0008470139149725117,-0.008017741933284825,-16.00629185797466,-9.645525906644837,-12.31839337283792,-0.008946494052158145,1.0208364840395332,0,-0.03743856571334818,-0.08281569329960763,-0.0789167189678748,0.12226310411245879,0.040560680114942065,1.5023400319431746,7.266836588608406e-05,0.16233662251967254,1.3128489296502246,1.002072048343183,38134,38134,38134,38134,38140,38928.578482363555,38928.578482363555,-15.252713416329676
0,[0],-0.008178527885397812,0.0008498459694504787,0.0003945521529173166,1.5870064823597767,-0.272453867267889,-0.4550425274251414,-0.0008287351606008583,-0.007998072778290777,-15.979750569510243,-9.621730486897935,-12.298040626398517,-0.008927305165017507,1.0208359897656265,0,-0.0023546428718738475,-0.08268810826480227,-0.07930203871921707,0.13077959139306738,0.04854599696961763,1.6875621573713513,6.285037202336219e-05,0.16231545426820704,1.312840781705958,1.0586706987023906,38125,38125,38125,38125,38129,38919.37210981451,38919.37210981451,-15.325381423995534
1,[1],-0.008561570284964069,6.069801800666319e-07,-0.00038907560114206203,-2.070983393027952,-2.7840731110378796,-3.7423785196885735,-0.0008234445930184857,-0.007992015907367502,-15.959278689441089,-9.61290056932838,-12.282194383795579,-0.00892129466192479,1.0208356723700085,0,-0.019366412796018324,-0.08258757830090752,-0.08342716236416582,0.13488536845644522,0.036680380046922166,1.358141421272669,5.641387166744776e-05,0.1623223551905143,1.3128503101597047,1.0940053244514818,38120,38120,38120,38120,38120,38914.255830744725,38914.255830744725,-16.121520473549744
2,[2],-0.008655447162141327,0.00042780357694612644,-0.00011872216302747897,-0.7035016213911177,-0.008552677917446579,-0.010637467274723466,-0.0007854953110845594,-0.007966976321076109,-15.916448492503957,-9.587989360399629,-12.251961953581619,-0.00888035149058471,1.0208350510540007,0,-5.505713948995092e-05,-0.08237995964685027,-0.08323184458256001,0.13836223274679638,0.03294777214417723,1.2568136314644223,4.2957363563657826e-05,0.1622278225418172,1.3125574319179178,1.1236487443449155,38107,38107,38107,38107,38117,38900.9612905148,38900.9612905148,-16.081039283260463
3,[3],-0.00868874798993536,0.00018196518006367493,-0.00016178580434331866,-0.954830550522995,-0.21804896495227272,-0.27262330337329654,-0.0006859498328389501,-0.007838256396216466,-15.840765419807902,-9.449899427361482,-12.195656150718682,-0.00878570816152655,1.0208348030525662,0,-0.0014112775111565362,-0.08200221961902454,-0.08316236127093957,0.14091492825008078,0.033070624414606314,1.263242359933444,3.709358576401104e-05,0.1618902030572016,1.3123471289540913,1.1505671102185824,38094,38094,38094,38094,38094,38887.680987484455,38887.680987484455,-16.064875594472866
4,[4],-0.008767627189272643,0.0002764713681997523,-0.00011739427516693574,-0.7133898318543618,-0.3890653827667129,-0.46636142543635545,-0.0006546821903946596,-0.007799585008753986,-15.81455843477437,-9.409431459910452,-12.176209667194543,-0.008754892492147849,1.0208345882129652,0,-0.0024144150321236675,-0.0818740691848413,-0.08356129261335943,0.14374683837106858,0.03211756354941587,1.211189016105235,3.2004526426895437e-05,0.1617821866697993,1.3122683087876237,1.1750740100228474,38087,38087,38087,38087,38093,38880.526961267205,38880.526961267205,-16.140457633000132
5,[5],-0.008919392384781814,0.00019471029032481428,-0.00019635897170231016,-1.133345114502213,-1.3129212555736929,-1.620626371428822,-0.0006024327130161573,-0.007754686137191977,-15.774553207922645,-9.360385683156842,-12.14810794734175,-0.008709395587813206,1.020834333264477,0,-0.00839151895006447,-0.08167981498189322,-0.08519874972944529,0.14667486246324932,0.03380847932415956,1.247208221455153,2.5894674686009135e-05,0.16166185058771634,1.3119765087346646,1.1969355423781904,38075,38075,38075,38075,38078,38868.26723904496,38868.26723904496,-16.45415346684553
6,[6],-0.008574240838373912,0.0006829324121881953,0.00035899383657586316,2.1520478405152534,1.4718068627787657,1.7511686883048965,-0.0006133573512133696,-0.0077682224490995145,-15.779214295743897,-9.377566551825684,-12.152052581864941,-0.008717084416701307,1.0208341230235412,0,0.009068650305784161,-0.0817146728946179,-0.08325559035931086,0.14907593586647,0.03254859249791381,1.202233911769571,2.0739320638969036e-05,0.16163248153338505,1.3119380364942337,1.2190952264567023,38065,38065,38065,38065,38071,38858.05089289109,38858.05089289109,-16.07676755057735
7,[7],-0.008241946463929584,0.0007737114678306389,0.0003380287954870822,2.133780798187165,0.08345370568820538,0.09729825755261702,-0.0006132836474561626,-0.007773617931031903,-15.794019025331748,-9.38448432432725,-12.163139553341365,-0.008721472761682333,1.0208339390505665,0,0.0005039773161580294,-0.0818085289495655,-0.08324011751940906,0.15199737201619487,0.030901212376985655,1.1779774778918406,1.636272356014956e-05,0.16157880872035332,1.3119718516808683,1.2420434941867267,38049,38049,38049,38049,38049,38841.710546935006,38841.710546935006,-16.070402642038704
8,[8],-0.007987408553542814,0.0007749220475676031,0.00022531545055641373,1.217736033810129,0.9532158054556782,1.1740620448819146,-0.0005820483049702817,-0.007744210769934066,-15.77181261662738,-9.34892552269286,-12.14526778076933,-0.008691040964021138,1.020833709585524,0,0.006082506037376026,-0.08170960459815234,-0.08181444612875943,0.15556990135049092,0.03608902880639701,1.2445968356077775,1.0662777219579935e-05,0.16156706771215168,1.3120549236938377,1.2678660717239911,38034,38034,38034,38034,38043,38826.38931037582,38826.38931037582,-15.792049417225153
9,[9],-0.007858756439561812,0.0005018889050026477,7.880258921317465e-05,0.4674218567637081,0.05374708692740878,0.06483848001214279,-0.0005141762480657168,-0.007694143647149749,-15.727787362473844,-9.30784388541041,-12.13062197129975,-0.008619774124260087,1.020833569944565,0,0.0003360612965660289,-0.08151795989292021,-0.08154956064198124,0.15884884094427193,0.032864215474098034,1.218864326285397,7.199570436109922e-06,0.16113986592692045,1.3099720564444346,1.2895483956688316,38000,38000,38000,38000,38000,38791.675657893466,38791.675657893466,-15.733884299423439
10,[10],-0.007572084956169584,0.0004848085468088109,0.0001650471269570925,0.9820998025038995,0.023151811313558004,0.02797651376826776,-0.0002795094577304367,-0.007572084956169584,-15.519213176290211,-9.20175770184014,-12.025141374686699,-0.008397441117742627,1.0208333333332937,0,0.00014519491647113972,-0.08054294682652977,-0.08054294682652977,0.16021333608656874,0.032719474821446604,1.2210133604054296,0.0,0.16021333608656874,1.3039379617320561,1.3039379617320561,37900,37900,37900,37900,37906,38689.58333333183,38689.58333333183,-15.519213176290211
-99,[-99],,0.0032203157809043443,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,121,0.0,0.0,
-98,[-98],,-0.012851318764248795,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,137,0.0,0.0,
-97,[-97],,-0.0007976942081369984,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,121,0.0,0.0,
-96,[-96],,-0.01112408758512563,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,131,0.0,0.0,
-95,[-95],,-0.00796290874157263,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,115,0.0,0.0,
