keydevid,companyid,keydeveventtypeid,announcedate,gvkey
51562,33121,25,20030926,008657
51565,290505,25,20031015,017073
51587,31335,25,20031016,031549
51640,36216,25,20031007,066368
51649,6536435,25,20031003,
51650,416514,25,20031003,137232
51659,30555,25,20031003,
51661,2567328,25,20031003,
51666,25798,25,20020524,002403
51675,383350,25,20020524,106881
51692,890180,25,20020524,
51696,410996,25,20020524,103830
51712,27899,25,20020525,126295
51712,30423465,25,20020525,
51721,403347,25,20031016,123097
51733,26642,25,20031007,003144
51773,365013,25,20031015,065350
51935,983017,25,20020611,
51935,1592587,25,20020611,009691
52012,312949,25,20020522,011554
52019,325757,25,20020522,028488
52020,93614,25,20031014,009155
52041,1632145,25,20031014,
52042,679391,25,20031014,
52042,694250,25,20031014,002333
52244,253965,25,20020521,002008
52244,1873662,25,20020521,
52269,247611,25,20020518,012484
52269,383350,25,20020518,106881
52277,267968,25,20020520,004140
52286,275167,25,20020520,005142
52355,7659222,25,20020517,111932
52393,21835,25,20020517,012141
52415,32867,25,20020520,064597
52509,28606,25,20031014,004510
52698,2004577,25,20031014,149070
52698,10037819,25,20031014,163993
52728,7943331,25,20031014,
52752,4341381,25,20020314,
52794,106335,25,20020314,004839
52819,25798,25,20020405,002403
52855,1792003,25,20031014,
52859,135827,25,20020410,006127
52955,383350,25,20020515,106881
53137,1794133,25,20020513,
53143,28149,25,20020513,004415
53214,7659222,25,20020501,111932
53264,24375,25,20020513,140441
53353,33121,25,20031013,008657
53441,385872,25,20030407,112033
53463,739732,25,20020408,066659
53475,27060,25,20020409,063707
53477,26069,25,20020409,025777
53477,275119,25,20020409,005134
53491,90442,25,20020409,133766
53497,108856,25,20020409,005606
53511,6817523,25,20031013,
53515,4855092,25,20020523,004249
53537,363186,25,20020426,065068
53594,8148290,25,20020407,
53614,90403,25,20031013,
53626,29538,25,20020425,122674
53629,247611,25,20020425,012484
53644,406896,25,20020426,061745
53651,263025,25,20020426,014808
53693,24442,25,20030404,114608
53695,24442,25,20030404,114608
53698,26893,25,20030404,003362
53711,373545,25,20030404,023667
53743,378361,25,20020405,025985
53770,287000,25,20020404,012236
53885,29013,25,20020430,014340
53887,7845237,25,20020403,
53925,331112,25,20020221,028735
53937,342988,25,20020405,
53951,33292,25,20020221,
53951,34687,25,20020221,
53951,7928342,25,20020221,
53988,247611,25,20020429,012484
54002,27842,25,20020430,062391
54175,406338,25,20020425,004503
54210,383776,25,20020219,110442
54215,5546160,25,20020219,
54275,879878,25,20020426,103040
54301,25798,25,20020401,002403
54318,22247,25,20020521,012142
54324,376406,25,20020429,065501
54328,890180,25,20020429,
54328,3531814,25,20020429,
54331,7706688,25,20020326,
54374,275167,25,20020424,005142
54401,2945162,25,20020424,
54412,7918333,25,20020424,
54448,342988,25,20020423,
54460,197012,25,20031010,027794
54467,3554628,25,20020423,
54496,263025,25,20020424,014808
54573,5908695,25,20020115,
54657,24442,25,20030411,114608
54752,379037,25,20020422,066290
54752,4366768,25,20020422,
54752,4576823,25,20020422,
54758,135827,25,20020517,006127
54779,396612,25,20031009,109188
54829,170388,25,20031009,001998
54829,7672841,25,20031009,
54829,8024180,25,20031009,
54850,33328,25,20031010,008762
54871,268053,25,20020402,004087
54871,528414,25,20020402,140760
54886,6585748,25,20020516,
54910,36318,25,20020419,064004
54910,97327,25,20020419,128758
54910,325757,25,20020419,028488
54910,335973,25,20020419,031203
54920,135827,25,20020419,006127
54959,189526,25,20020419,010385
55010,275167,25,20020418,005142
55012,298176,25,20020418,020423
55023,287000,25,20020418,012236
55037,342988,25,20020419,
55046,18921,25,20020117,001581
55052,4361213,25,20020419,
55093,27586,25,20020307,121755
55093,100310,25,20020307,030893
55093,107231,25,20020307,015354
55093,347555,25,20020307,062378
55105,331701,25,20020111,030006
55121,6500002,25,20020417,
55147,972041,25,20031009,143971
55172,303177,25,20020401,009673
55205,339972,25,20020415,061489
55349,3585880,25,20030319,
55398,177126,25,20020504,005073
55518,35604,25,20020111,124394
55529,294585,25,20020308,008245
55533,294585,25,20020308,008245
55572,103599,25,20020410,011636
55680,961688,25,20031008,147908
55693,333765,25,20031009,030399
55748,107534,25,20020306,010787
55779,24442,25,20030328,114608
55784,24442,25,20030328,114608
55786,24442,25,20030328,114608
55819,935192,25,20031008,005762
55827,112350,25,20031008,006066
55869,247483,25,20020327,001078
55869,1380112,25,20020327,
55874,135610,25,20020327,004764
55874,257948,25,20020327,002574
55874,655542,25,20020327,001177
55876,371904,25,20031009,065753
55881,428507,25,20031008,213042
55902,135827,25,20020109,006127
55958,687140,25,20020111,025648
55994,34955,25,20031007,133825
56001,7913303,25,20031007,
56013,19007,25,20031007,001976
56030,4301728,25,20020430,
56142,468330,25,20030117,012108
56248,3535087,25,20020326,
56296,739732,25,20020326,066659
56310,295969,25,20020326,008486
56381,261825,25,20020325,022260
56390,7925309,25,20020325,
56391,4211892,25,20020325,
56395,95604,25,20020325,
56395,5113488,25,20020325,
56421,25981,25,20020326,024978
56467,8160435,25,20020322,
56478,412994,25,20020322,
56503,102916,25,20020325,
